loannumber,dateapproved,borrowername,borroweraddress,borrowercity,borrowerstate,borrowerzip,loanstatusdate,loanstatus,initialapprovalamount,currentapprovalamount,servicinglendername,jobsreported,naicscode,businesstype,originatinglender,forgivenessamount,forgivenessdate
6695277204,04/28/2020,H&G FOODS INC,13045 Worldgate Drive,Herndon,VA,20170,08/11/2021,Paid in Full,16300,16300,"Capital One, National Association",6,722513,Corporation,"Capital One, National Association",16487.9,07/02/2021
6709868801,04/20/2021,KT COLLEGE PICKS INC.,1364 Mill Creek Rd,Clarksville,VA,23927-4324,03/25/2022,Paid in Full,16300,16300,Comerica Bank,3,424310,Corporation,Comerica Bank,16356.14,08/24/2021
6802627710,05/01/2020,SOUTHERLAND REAL ESTATE INC,638 INDEPENDENCE PKWY,CHESAPEAKE,VA,23320-5222,06/10/2021,Paid in Full,16300,16300,"PNC Bank, National Association",1,531210,Subchapter S Corporation,"PNC Bank, National Association",15160,05/26/2021
6807227707,05/01/2020,HARDCASTLE HOLDING INC,1800 N LYNN ST,ARLINGTON,VA,22209-2042,10/07/2021,Paid in Full,16300,16300,"PNC Bank, National Association",1,999990,Subchapter S Corporation,"PNC Bank, National Association",16517.79,08/31/2021
6810637800,06/02/2020,IGLESIA EPISCOPAL SAN JOSE,911 N. Oakland St.,Arlington,VA,22203,03/19/2021,Paid in Full,16300,16300,Truist Bank,3,813110,Non-Profit Organization,Truist Bank,16410.03,02/02/2021
7287307206,04/28/2020,GOOD SHEPHERD EVANGELICAL LUTHERAN CHURCH,18 W 6TH ST,FRONT ROYAL,VA,22630-2706,03/23/2021,Paid in Full,16300,16300,United Bank,2,813110,Non-Profit Organization,United Bank,16430.85,02/19/2021
7630757003,04/07/2020,"CR JEWELS, INC.",12916 FITZWATER DR,NOKESVILLE,VA,20181-2231,07/17/2021,Paid in Full,16300,16300,United Bank,1,448310,Corporation,United Bank,16486.54,06/09/2021
7746887009,04/08/2020,HOPKINS INTERIOR SERVICES INC,18432 JOHN CLAYTON MEMORIAL HWY,MATHEWS,VA,23109-2065,02/20/2021,Paid in Full,16300,16300,Chesapeake Bank,3,541410,Corporation,Chesapeake Bank,16400.06,11/17/2020
7784578301,01/28/2021,MARK'S PUB INC.,2190 Pimmit Dr,Falls Church,VA,22043-2806,05/19/2022,Paid in Full,16300,16300,MainStreet Bank,8,722511,Corporation,MainStreet Bank,16484.88,04/07/2022
7988297110,04/14/2020,SHOOTERS ARCHERY INC,19237 Partlow Road,BEAVERDAM,VA,23015-1727,06/18/2021,Paid in Full,16300,16300,Truist Bank,4,451110,Corporation,Truist Bank,16474.77,05/12/2021
